id	en	ja	es	de	fr	it	pt_BR	es_US	pl	zh	tr	se	en_US	ru
sys_reignited_control	Reignited	リイグニション	Nuevo	Reignition		Reignited	Reignited	Reencendido	Odnowiona	Reignited	Alevli	Återantändes		Ремейк
sys_traditional_control	Traditional	伝統的な	Tradicional	Traditionell		Tradizionale	Tradicional	Tradicional	Tradycyjny	傳統	Geleneksel	Traditionell		Классика
sys_retail_description	Mimics the original Wii game's autorun and charge jump.\nRecommended for purists.	WIIのオートランとチャージジャンプを写す。\nピュアリスト向け。	Mantiene el avance automático y el salto con carga del juego original.\nRecomendado para los puristas.	Ahmt die Original-Steuerung nach.\nSprünge müssen hier, bevor man springt, zuerst\naufgeladen werden + automatisiertes Vorwärtslaufen.\nEmpfohlen für Puristen.	 Reproduit la course automatique et le saut chargé du jeu Wii original ; recommandé aux puristes.	Imita la corsa automatica e il salto caricato del gioco Wii originale.\nConsigliato ai puristi.	Mantém a Corrida Automatica e o Pulo Carregado do jogo original de Wii.\nRecomendado para puristas.	Imita el movimiento automático y el salto cargado del Wii.\nRecomendado para puristas.	Mimikuje auto-bieg i ładowany skok z oryginalnej gry na Wii.\nZalecane dla purystów.	模仿原始WII遊戲的自動奔跑與蓄力跳躍。\n推薦純正主義玩家使用此設定。	Orijinal Wii oyunundaki otomatik koşma ve şarjlı zıplama mekaniklerini taklit eder. \nOrijinal deneyimden ödün vermeyenler için önerilir. 	Efterliknar det ursprungliga Wii-spelets autostart och laddningshopp.\nRekommenderas för purister.		Имитирует автобег и прыжок с зарядом\nиз оригинальной игры для Wii.\nРекомендуется для ценителей оригинала.
sys_reignited_description	Updates the core on-rails style gameplay for modern controllers.\nRecommended for most players.	レール型の操作を現代のコントローラー向けに刷新。\n一般向け。	Actualiza la jugabilidad """sobre raíles""" a una afín con los métodos de control modernos.\nRecomendado para la mayoría de jugadores.	Aufgefrischte Steuerung für moderne Gamepads.\nEmpfohlen für die meisten Spieler.		Aggiorna lo stile di gioco sulla ringhiera per controller moderni.\nRaccomandato per la maggior parte dei giocatori.	Atualiza a jogabilidade linear para controles modernos.\nRecomendado para a maioria dos jogadores.	Actualiza la jugabilidad lineal del juego para adaptarla a los controles modernos.\nRecomendado para la mayoría.	Aktualizuje rozgrywke szynową dla nowoczesnych kontrolerów.\nZalecane dla większości graczy.	更新核心的軌道風格遊玩方法，使現代遙控器也能順暢遊玩。\n推薦給大多數玩家使用此設定。	Temel sabit rotalı oynanış tarzını modern kontrolcüler için günceller.\nÇoğu oyuncu için önerilir.	Uppdaterar det centrala spelupplägget i on-rails stil för moderna handkontroller.\nRekommenderas för de flesta spelare.		Обновляет основной геймплей в стиле\n"""по рельсам""" для современных геймпадов.\nРекомендуется для большинства игроков.
sys_traditional_description	Removes the on-rails control style entirely,\nbut may feel at odds with the level design.\nRecommended for players who know what they want.	レール型の操作を撤廃。\nレベルデザインとしっくりこない可能性あり。\n自分のスタイルのプレイヤー向け。	Elimina por completo la jugabilidad """sobre raíles""".\nRecomendado para jugadores experimentados que buscan\ncontroles más parecidos a otros juegos de Sonic.	Ähnelt einem traditionellen 3D-Platformer.\nDies funktioniert an manchen Stellen mit dem Level-Design nicht so gut.\nGenerell nicht empfehlenswert, aber hier für die, welche\nsich nicht an die Reignition-Steuerung gewöhnen konnten.		Rimuove lo stile sulla ringhiera interamente.\nRaccomandato per giocatori esperti che sanno cosa vogliono.	Remove a jogabilidade linear por completo.\nRecomendado para jogadores experientes.	Remueve el sistema lineal por completo\naunque podría chocar con el diseño de los niveles.\nRecomendado para quienes saben lo que quieren.	Kompletnie pozbywa się stylu kontroli szynowej.\nZalecane dla doświadczonych graczy, którzy wiedzą czego chcą.	徹底移除軌道控制風格，有可能會和關卡設計有些衝突。\n推薦給有自知之明的玩家們使用此設定。	Raylı kontrol tarzını tamamen kaldırır.\n Ne istediğini bilen deneyimli oyuncular için önerilir.	Tar bort on-rails kontrollstilen helt,\nmen kan kännas oförenlig med nivådesignen.\nRekommenderas för spelare som vet vad de vill.		Полностью отключает стиль управления """по рельсам""".\nРекомендуется опытным игрокам,\nкоторые знают, чего хотят.
sys_retry	Retry	リトライ	Otra Vez	Erneut versuchen	Recommencer 	Ricomincia	Reiniciar	Reintentar	Powtórz	重來	Tekrarla	Försök igen		Заново
sys_next	Next	つぎへ	Continuar	Weiter	Suivant 	Prossimo	Continuar	Continuar	Dalej	繼續	Sonraki	Nästa		Далее
sys_back	Back	もどる	Atrás	Zurück		Indietro	Voltar	Volver	Wróć	後退	Geri	Tillbaka		
sys_return	Return	もどる	Volver	Zurück	Retour	Ritorna	Retornar	Regresar	Powrót	返回	Geri dön	Återvänd		Назад
sys_skip	Skip	スキップ	Saltar	Überspringen		Salta	Pular	Saltar	Pomiń	跳過	Geç	Hoppa Över		Пропустить
sys_quit	Quit	やめる	Salir	Verlassen	Quitter 	Esci dal Gioco	Sair	Salir	Wyjdź	退出	Çık	Avsluta		Выход
sys_quit_description	Quit the Game?	ゲームをやめてします。\nよろしいですか?	¿Quieres Salir del Juego?	Spiel verlassen?	Quitter le jeu ? 	Abbandonare il Gioco?	Sair do Jogo?	¿Quieres cerrar el juego?	Wyjść z gry?	退出遊戲？	Oyundan çıkılsın mı?	Avsluta spelet?		Выйти из игры?
sys_presets	Presets	プリセット	Conjuntos	Voreinstellungen	Préréglages	Preimpostazioni	Conjuntos	Conjuntos de habilidades	Szablony	技能組合	Ön ayarlar	Förinställningar		Шаблон
sys_save	Save	セーブ	Guardar	Speichern	Sauvegarder	Salvataggio	Salvar	Guardar	Zapisz	儲存	Kaydet	Spara		Сохранить
sys_overwrite	Overwrite	オーバーライト	Sobrescribir	Überschreiben	Ecraser	Sovrascrivere	Sobrescrever	Sobrescribir	Nadpisz	覆寫	Üstüne yaz	Skriv över		Перезаписать
sys_load	Load	ロード	Cargar	Laden	Charger	Carica	Carregar	Cargar	Wczytaj	載入	Yükle	Ladda		Загрузить
sys_rename	Rename	リネーム	Renombrar	Umbennen	Renommer	Rinomina	Renomear	Renombrar	Przemianuj	重新命名	Yeniden Adlandır	Byt namn		Переименовать
sys_skill	Edit Skills	チェンジスキル	Habilidades	Skills bearbeiten	Modifier les compétences	Modifica le Abilità	Editar Habilidades	Editar habilidades	Edytuj Talenty	修改技能	Becerileri Düzenle	Redigera färdigheter		Выбор навыков
sys_skill_total	Skill Total	スキルトータル	Total de Habilidades	Gesamte Skills	Total de compétences	Abilità Totali	Total de Habilidades	Total de Habilidades	Suma Talentów	總共裝備技能	Toplam Beceri	Sammalagd färdighet		Всего навыков
sys_skill_cost	Skill Cost	スキルコスト	Coste Total	Skill-Kosten	Coût total	Costo delle Abilità	Custo de Habilidade	Costo de habilidad	Koszt Talentu	總共使用點數	Beceri Maliyeti	Färdighetskostnad		Стоимость навыка
sys_sort	Sort	ソート	Ordenar	Sortieren	Trier	Ordina	Organizar	Ordenar	Sortuj	分類	Tür	Sortera		Отсортировать
sys_sort_default	Default	デフォルト	Predeterminado	Standard	Par défaut	Predefinito	Padrão	Por defecto	Domyślne	預設	Sıradan	Standard		По умолчанию
sys_sort_name	Name	名前	Nombre	Name	Nom	Nome	Nome	Nombre	Nazwa	名稱	İsim	Namn		Название
sys_sort_cost	Cost	コスト	Coste	Kosten	Coût	Costo 	Custo	Costo	Koszt	所需點數	Maliyet	Kostnad		Стоимость
sys_sort_wind	Wind	ウィンド	Viento	Wind	Vent	Vento	Vento	Viento	Wiatr	風屬性	Rüzgar	Vind		Дух ветра
sys_sort_fire	Fire	ファイア	Fuego	Feuer	Feu	Fuoco	Fogo	Fuego	Ogień	炎屬性	Ateş	Eld		Дух огня
sys_sort_dark	Dark	ダーク	Oscuridad	Finsternis	Ténèbres	Tenebre	Escuridão	Sombrío	Mrok	闇屬性	Karanlık	Mörk		Дух темноты
														
sys_reset	Reset	リセット	Restablecer	Zurücksetzen	Réinitialiser	Resetta	Redefinir	Restablecer	Zresetuj	重置	Tekrarla	Återställ		Сбросить
sys_reset_description	Are you sure you want to reset this preset?	このプリセットをリセットする？	¿Deseas restablecer este conjunto de habilidades?	Bist du sicher dass du diese Vorgabe zurücksetzen willst?	Voulez-vous réinitialiser cet ensemble de compétences ?	Sei sicuro di voler resettare questa preimpostazione?	Deseja mesmo redefinir este conjunto?	¿Seguro(a) que quieres restablecer este conjunto de habilidades?	Czy na pewno chcesz zresetować ten szablon?	您確定要重置此一組合？	Bu ön ayarı sıfırlamak istediğine emin misin?	Är du säker på att du vill återställa den här förinställningen?		Вы уверены, что хотите сбросить этот шаблон?
sys_new_preset	New Preset	新プリセット	Conjunto Nuevo	Neue Vorgabe	Nouvel ensemble	Nuova Preimpostazione	Novo Conjunto	Nuevo conjunto	Nowy Szablon	新組合	Yeni Ön Ayar Oluştur	Ny förinställning		Новый шаблон
sys_delete_preset_description	Are you sure you want to delete this preset?	このプリセットをデリートする？	¿Deseas borrar este conjunto de habilidades?	Bist du sicher, dass du diese Vorgabe löschen willst?	Voulez-vous effacer cet ensemble de compétences ?	Sei sicuro di volere cancellare questa Preimpostazione?	Deseja mesmo excluir este conjunto?	¿Seguro(a) que quieres borrar este conjunto de habilidades?	Czy na pewno chcesz usunąć ten szablon?	您確定要刪除此組合？	Bu ön ayarı silmek istediğine emin misin?	Är du säker på att du vill radera den här förinställningen?		Вы уверены, что хотите\nудалить данный шаблон?
sys_bgm	Change BGM	ＢＧＭ　へんこう	Cambiar música de fondo	Musik ändern		Cambia musica di sottofondo	Alterar música de fundo	Cambiar música de fondo	Muzyka w Tle	變更BGM	APM Değiştir	Ändra Backgrundsmusik		Изменить фоновую музыку
														
sys_pause	Pause	ポーズ	Pausa	Pause	Pause	Pausa	Pausa	Pausa	Pauza	暫停	Durdur	Pausa		Пауза
pause_continue	Continue	コンティニュー	Continuar	Weiter	Continuer 	Continua	Continuar	Continuar	Kontynuuj	繼續	Devam et	Fortsätt		Продолжить
pause_restart	Restart	リスタート	Reiniciar	Neustart	Recommencer	Ricomincia	Reiniciar	Reiniciar	Zrestartuj	重新來過	Tekrarla	Starta om		Заново
pause_status	Status	ステータス	Estado	Status	Statut	Stato	Status	Estado	Status	狀態	Durum	Status		Статус
pause_quit	Quit	やめる	Salir	Verlassen	Quitter 	Abbandona	Sair	Salir	Wyjdź	退出	Çık	Avsluta		Выход
pause_mission	Mission	ミッション	Misión	Mission	Mission 	Missione	Missão	Misión	Misja	任務	Görev	Uppdrag		Миссия
pause_skill	Skills	スキル	Habilidades	Skills	Compétences	Abilità	Habilidades	Habilidades	Talenty	技能	Becerliler	Färdigheter		Навыки
pause_status_description	Here is Sonic's current status.	現在のソニックのステータスです。	Aquí está el estado actual de Sonic.	Hier ist Sonics aktueller Status.	Stats actuelles de Sonic 	Ecco lo stato attuale di Sonic.	Aqui está o estado atual de Sonic.	Este es el estado actual de Sonic.	Oto obecny status Sonica.	索尼克的目前狀態。	İşte Sonic'in son durumu.	Här är Sonics nuvarande status		Текущий статус Соника.
pause_mission_description	Here is information on\nyour current mission.	現在プレイ中のミッション\n内容を表示します。	Aquí hay información\nsobre la misión actual.	Hier sind Informationen zu deiner aktuellen Mission.	Informations de la quête 	Ecco le informazioni sulla\ntua attuale missione.	Aqui estão as informações\nda sua missão atual.	Esta es la información\nde tu misión actual.	Oto informacje o obecnej misji.	目前任務的資訊。	İşte şu anki\ngörevinle ilgili bilgiler.	Här är information för\nditt nuvarande uppdrag		Отобразить содержание текущей миссии.
pause_skill_description	Here is information on\nyour currently equipped skills.	現在プレイ中のスキルリストです。	Aquí hay información\nsobre las habilidades equipadas.	Hier sind Informationen zu deiner aktuellen Ausrüstung.	Informations de tes équipements actuels 	Ecco le informazioni sulle\ntue abilità attualmente equipaggiate.	Aqui estão as informações das\nsuas habilidades equipadas atualmente.	Esta es la información de\ntus habilidades equipadas.	Oto informacje o wyposażonych talentach.	目前裝備的技能。	İşte şu anda sahip olduğun\nbecerilere ilişkin bilgiler.	Här är information för\ndina nuvarande valda färdigheter		Список навыков, которыми сейчас снаряжён герой.
pause_lv	Level	レベル	Nivel	Level	Niveau 	Livello	Nível	Nivel	Poziom	等級	Seviye	Nivå		Уровень
pause_high_score	High Score	ハイスコア	Mejor Puntuación	Höchstpunktzahl	Score le plus élevé 	Punteggio più alto	Melhor Pontuação	Mayor puntuación	Najlepszy Wynik	最佳得分	Yüksek Skor	Topp Poäng		Всего очков
pause_score	Score	スコア	Puntuación	Punkte	Score le plus élevé 	Punteggio	Pontuação	Puntuación	Wynik	得分	Skor	Poäng		Очки
pause_best_time	Best Time	ベストタイム	Mejor Tiempo	Bestzeit	Meilleur temps	Tempo Migliore	Melhor Tempo	Mejor tiempo	Najlepszy Czas	最佳時間	En İyi Süre	Bästa Tid		Лучшее время
pause_time	Time	タイム	Tiempo	Zeit	Temps	Tempo	Tempo	Tiempo	Czas	時間	Süre	Tid		Время
pause_stage_exp	Stage EXP	ステージ EXP	EXP del Nivel	Level EP	XP du niveau 	PE del livello	EXP de Nível	EXP del nivel	PD Etapu	關卡獲得EXP	Aşama EXP	Ban EXP		Уровень опыта
pause_total_exp	Total EXP	トータル EXP	EXP Total	Gesamt EP	XP total 	PE totale	EXP Total	EXP total	Suma PD	總共EXP	Toplam EXP	Total EXP		Всего опыта
pause_gauge	Soul Gauge	ソウルゲージ	Barra de Almas	Soul Gauge	Jauge d'Âme	Barra dell'Anima	Barra Espiritual	Medidor de almas	Pasek Dusz	魂力量表	Ruh Ölçer	Själmätare		Шкала души
pause_fire_soul	Fire Soul	ファイヤーソウル	Alma Ígnea	Feuerseele	Âme de Feu 	Anima Infuocata	Alma de Fogo	Alma de fuego	Ognista Dusza	焰魂	Ateş Ruhu	Eldsjäl		Душа огня
pause_medal	Medal	メダル	Medalla	Medaille	Médaille 	Medaglia	Medalha	Medalla	Medal	獎牌	Madalya	Medalj		Медаль
pause_no_skill	No skills are currently equipped.	スキルは装備していない。	No tienes equipada ninguna habilidad.	Es sind gerade keine Skills ausgerüstet.	Aucune compétence n'est actuellement équipée.	Nessuna abilità è attualmente equipaggiata.	Nenhuma habilidade está equipada no momento.	No hay ninguna habilidad equipada.	Żaden talent nie jest obecnie używany.	目前沒有裝備技能	Şu anda hiçbir beceri donatılmadı.	Inga färdigheter är utrustade för tillfället.		Сейчас Ваш герой ничем не снаряжён.
														
														
status_header	Status	ステータス	Status	Status		Stato	Status	Estado	Status	狀態	Durum	Status		Статус
status_level	Level	レベル	Nivel	Level		Livello	Nível	Nivel	Poziom	等級	Seviye	Nivå		Уровень
status_ring	Ring Count	リング数	Anillos	Ringe gesammelt		Numero Anelli	Anéis	Anillos	Liczba Pierścieni	金環數量	Yüzük Sayısı	Antal Ringar		Максимум колец
status_fire_soul	Fire Soul Count	ファイヤーソウル数	Almas Ígneas	Feuerseelen 		Numero Anime Infuocate	Almas de Fogo	Almas de fuego	Liczba Ognistych Dusz	焰魂數量	Ateş Ruhu Sayısı	Antal Äldsjälar		Всего Душ огня
status_skill_points	Skill Points	スキル ポイント	Puntos de Habilidad	Skillpunkte		Punti Abilità	Pontos de Habilidade	Puntos de habilidad	Punkty Talentów	技能點數	Beceri Puanları	Färdighetspoäng		Очков навыка
status_soul_gauge	Max Soul Gauge	マックスソウルゲージ	Límite de la Barra de Almas	Soul Gauge Höhe		Barra dell'Anima Massima	Limite da Barra Espiritual	Medidor de almas	Maks. Pasek Dusz	最大魂力量表	Maksimum Ruh Ölçütü	Max Själmätare		Максимум шкалы души
status_total_exp	Total Exp	トータル EXP	EXP Total	Erfahrungspunkte		EP Totali	Experiência Total	Exp Total	Łączne PD	總EXP	Toplam Tecrübe Puanı	Total EXP		Всего опыта
status_next_exp	Next Level Up	次のレベル	Siguiente Nivel	Nächstes Level ab		Prossimo Livello	Próximo Nível	Para el próximo nivel	Kolejny Poziom	下次升等	Sonraki Seviye Atlama	Nästa Nivå Upp		Следующий уровень
status_next_story	Next Story Mission	次のミッション	Siguiente Misión de la Historia	Nächste Story Mission		Prossima Missione Storia	Próxima Missão da Campanha	Próxima misión de la historia	Kolejna Misja Fabularna	下個主線任務	Sonraki Hikaye Görevi	Nästa Berättelse Uppdrag		Сюжетная миссия
														
														
sys_world_locked	You cannot select this world yet.	このステージは　まだ選択できません。	Aún no puedes seleccionar este mundo.	Du kannst diese Welt noch nicht auswählen.	Tu ne peux pas encore\nséléctionner ce monde.	Non puoi ancora selezionare questo mondo.	Você ainda não pode selecionar este mundo.	Aún no puedes elegir este mundo.	Jeszcze nie możesz wybrać tego świata.	您還不能選擇此世界。	Henüz bu bölgeyi seçemezsin.	Du kan inte välja den här världen än.		Вы пока не можете выбрать этот мир.
sys_mode_adventure	Take on the quest to save the\nfading world of the Arabian Nights!	失われつつあるアラビアンナイトの\n世界を冒険します。	¡Emprende la misión de salvar\nel mundo de Las mil y una noches!	Rette die schwindende Welt von\nTausendundeiner Nacht!	Pars à l'aventure et sauve le monde\ndes Mille et Une Nuits du néant !	Intraprendi la missione per salvare\nil mondo dissolvente delle Mille e una Notte!	Embarque numa missão para salvar o\nmundo em declínio das Mil e uma Noites!	Explora y salva el mundo decadente\nde """Las mil y una noches""".	Podejmij się wyprawy by uratować\nzanikający świat Arabskich Nocy!	接下任務，\n拯救正在逐漸消失的天方夜譚的世界吧！	Arap Geceleri’nin solmakta olan\ndünyasını kurtarma görevini üstlen!	Ge dig ut på uppdraget för att rädda\nTusen och en Natts bleknande värld!		Отправимся навстречу приключениям\nв мир исчезающих """Тысячи и одной ночи"""!
sys_mode_party	Play with up to 4 of your friends\nin this full-scale minigame mode!	1人~4人で遊ぶためのミニゲーム\n満載のパーティーモードーです。	¡Juega con hasta 4 amigos a\nuna multitud de minijuegos!	Im Partymodus können bis zu 4\nFreunde an Minispielen teilnehmen!	Joue à des mini-jeux avec jusqu'a 4 de tes amis dans ce mode mini-jeu !	Gioca fino a 4 amici\nin questa modalità di mini-giochi!	Jogue com até 4 jogadores numa\nvariedade de minigames!	Un modo repleto de minijuegos\npara 1 a 4 jugadores.	Graj z maks. czterema znajomymi w tym\npełnowymiarowym trybie Minigrowym! 	可供1~4人遊玩充滿小遊戲的派對模式！	Bu kapsamlı mini oyun modunda\n4 arkadaşına kadar birlikte oyna!	Spela med upp till 4 av dina vänner in det här fullskaliga minispelsläget!		Режим вечеринки, в котором собраны\nмини-игры для 1-4 человек.
sys_mode_book	You can view the pages\nyou've collected here.	これまで獲得したページを\n見る事ができます。	Aquí puedes ver las páginas\nque has coleccionado.	Hier kannst du die Seiten ansehen,\ndie du gesammelt hast.	Tu peux voir toutes les pages\nque tu as récupérées ici.	Qua puoi vedere le pagine\nche hai collezionato.	Aqui você pode ver as páginas\nque já coletou.	Puedes ver las páginas\nque has reunido aquí.	Tutaj możesz przejrzeć strony,\nktóre zebrałeś/aś.	您可以在此觀賞收集到的書頁。	Topladığın sayfaları burada görüntüleyebilirsin.	Du kan titta på sidor som\ndu har samlat här.		Просмотреть полученные страницы.
sys_mode_option	Change the game's settings.	ゲーム中の設定を変更できます。	Ajusta los parámetros del juego.	Ändere die Einstellungen des Spiels.	Ceci te permet de modifier\nles paramètres du jeu.	Cambia le impostazioni di gioco.	Altere as configurações do jogo.	Cambia los ajustes del juego.	Zmień ustawienia gry.	調整遊戲設定。	Oyun ayarlarını değiştir.	Ändra spelets inställningar.		Изменить настройки игры.
sys_mode_timeattack	Go for the fastest time!	最速タイムを狙え！	¡Compite por los tiempos más rápidos!	Wetteifere um die schnellsten Zeiten!	Établis des records de vitesse !	Competi per il tempo più veloce!	Faça o menor tempo que puder!	Intenta llegar más rápido.	Rywalizuj po najlepsze czasy!	挑戰以最快時間通關！	En hızlı süre için yarış!	Tävla för dem snabbaste tiderna!		Соревнуйтесь за лучшее время!
sys_mode_timeattack_locked	Clear the game at least once to unlock.	ゲームをクリアするとアンロックされる。	Supera el juego al menos una vez para desbloquearlo.	Spiel das Spiel einmal durch, um dies freizuschalten.	Termine le jeu une fois pour débloquer.	Completa il gioco almeno una volta per sbloccare questa modalità.	Conclua o jogo pelo menos uma vez para desbloquear.	Termina el juego al menos\nuna vez para desbloquear esto.	Skończ grę przynajmniej raz by odblokować.	完成遊戲一次即可解鎖。	Kilidi açmak için oyunu en az bir kez tamamla.	Klara ut spelet minst en gång för att låsa upp.		Чтобы разблокировать, пройдите\nигру хотя бы один раз.
														
sys_save_select	Please select the file\nyou would like to play.	始めたいデータを選択してください。	Selecciona el archivo de\nguardado que quieres cargar.	Bitte wähle die gewünschte\nDatei aus.	Sélectionne le ficher que tu souhaites utiliser.	Seleziona il salvataggio\ndove vorresti giocare.	Selecione o jogo salvo\nque deseja carregar.	Elige el archivo que quieres usar	Wybierz zapis,\nna którym chcesz grać.	請選擇要遊玩的存檔資料。	Lütfen oynamak istedigin\ndosyayı seç	Snälla välj filen som du skulle vilja spela.		Выберите файл, который хотите загрузить.
sys_new	New	New	Nuevo	Neu	Nouveau	Nuovo	Novo	Nuevo	Nowy	新	Yeni	Ny		Новое
sys_map	World	ワールド	Mundo	Welt	Monde	Mondo	Mundo	Mundo	Świat	世界	Dünya	Värld		Мир
sys_mission	Mission	ミッション	Misión	Mission	Mission 	Missione	Missão	Misión	Misja	任務	Görev	Uppdrag		Миссия
sys_music_selector	Music Selector	曲セレクター	Selector de Música	Musik-Auswahl		Selettore di Musica	Seletor de Música	Selector de música	Wybór Muzyki	音樂選擇	Müzik Seçici	Musik Väljare		Выбор музыки
sys_customtracks	Custom Music	カスタム曲	Música Importada	Eigene Musik		Musica Personalizzata	Músicas Importadas	Música personalizada	Niestandardowa Muzyka	客製關卡	Özel Müzik	Anpassad Musik		Пользовательская музыка
sys_maintracks	Default Music	デフォルト曲	Música por Defecto	Standard-Musik		Musica Predefinita	Música Padrão	Música por defecto	Standardowa Muzyka	主要關卡	Normal Müzik	Standard Musik		Музыка по умолчанию
sys_refresh	Refresh		Actualizar	Aktualisieren		Aggiorna	Atualizar	Recargar	Odśwież		Yenile	Uppdatera		Обновить
														
ta_title	Time Attack	タイムアタック	Contrarreloj	Zeit-Angriff	Contre-la-montre	Sfida a Tempo	Contra o Tempo	Contrarreloj	Atak Czasu	競速通關模式	Zamanlı Saldırı	Tids Attack		Забег на время
ta_newrun	New Run	ニュー ＲＴＡ	Nueva Partida	Neuer Speedrun	Nouvelle partie	Nuova Partita	Nova Run	Nueva speedrun	Nowy Bieg	新挑戰	Yeni Koşu	Ny Omgång		Новое прохождение
ta_mode_title	Choose Run Type	ＲＴＡタイプ選択	Escoge el Tipo de Partida Cronometrada	Speedrun-Typ auswählen	Sélectionner le type de partie	Seleziona il tipo di partita	Escolha o Tipo de Run	Elige el tipo de speedrun	Wybierz Typ Biegu	請選擇競速通關規則	Koşu Türünü Seç	Välj Omgångstyp		Выберите тип прохождения
ta_mode_standard	Standard	通常	Estándar	Standard		Standard	Aventura	Normal	Standard	標準	Standard	Standard		Стандартный
ta_mode_mainmissions	Minimalist	ミニマリスト	Minimalista	Hauptmissionen		Missioni Principali	Missões Principais	Misiones principales	Misje Główne	主線任務	Ana Görevler	Huvuduppdrag		Основные миссии
ta_mode_bossrush	Boss Rush	ボスラッシュ	Jefes	Boss Rush	Boss Rush	Sfida sui Boss	Desafio de Chefões	Cadena de jefes	Maraton Bossów	頭目連戰	Boss Hücumu	Bossrusning		Битва с боссами
